3-6 各地区主要农业机械年末拥有量
地区,农业机械总动力
(万千瓦),,大中型拖拉机
(万台),,,
,2019年,2020年,2019年,2020年,,

Province,农业机械总动力Y2019,农业机械总动力Y2020,大中型拖拉机Y2019,大中型拖拉机Y2020
Unit,万千瓦,万千瓦,万台,万台
Remark,3-6 各地区主要农业机械年末拥有量,
海南,4.6,4.2,0.8,0.9,,
重庆,74.5,72.9,0.2,0.4,,
四川,170.2,171.2,3.6,3.1,,
贵州,78.7,88.2,2.4,2.5,,
云南,52.8,56.2,6.6,7.8,,
西藏,5.6,5.7,,0.1,,
陕西,50.2,50.4,6.2,6.1,,
甘肃,29.0,29.2,2.5,2.6,,
青海,4.5,4.6,0.2,0.2,,
宁夏,2.1,2.1,0.8,1.0,,
新疆,5.1,5.0,6.4,6.5,,
