2-2全国各民族分年龄、性别的人口
,单位：人
年龄组,合计,,,汉族,,,蒙古族,,,回族,,,藏族,,,维吾尔族,,,苗族,,,彝族,,,壮族,,,布依族,,,朝鲜族,,,满族,,,侗族,,,瑶族,,,白族,,,土家族,,,哈尼族,,,哈萨克族,,,傣族,,,黎族,,,傈僳族,,,佤族,,,畲族,,,高山族,,,拉祜族,,,水族,,,东乡族,,,纳西族,,,景颇族,,,柯尔克孜族,,,土族,,,达斡尔族,,,仫佬族,,,羌族,,,布朗族,,,撒拉族,,,毛南族,,,仡佬族,,,锡伯族,,,阿昌族,,,普米族,,,塔吉克族,,,怒族,,,乌孜别克族,,,俄罗斯族,,,鄂温克族,,,德昂族,,,保安族,,,裕固族,,,京族,,,塔塔尔族,,,独龙族,,,鄂伦春族,,,赫哲族,,,门巴族,,,珞巴族,,,基诺族,,,未定族称人口,,,入籍
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
45-49岁,114224887,58191686,56033201,104852975,53396277,51456698,515122,253226,261896,808421,406749,401672,483951,242587,241364,741089,369034,372055,846070,438826,407244,711324,358345,352979,1536497,807167,729330,270718,137343,133375,139669,72381,67288,768167,390807,377360,285166,148854,136312,225276,119721,105555,178729,91923,86806,798205,415848,382357,133772,67800,65972,120138,58579,61559,102930,51162,51768,117053,61694,55359,57553,29104,28449,32550,16611,15939,59011,32925,26086,242,126,116,38922,19884,19038,34805,17981,16824,44672,21753,22919,30946,15645,15301,11351,5144,6207,13385,6708,6677,23869,12174,11695,10598,5055,5543,19813,10362,9451,29284,14695,14589,8900,4596,4304,9801,4772,5029,10146,5510,4636,55416,29538,25878,14237,7264,6973,2710,1317,1393,3475,1743,1732,3179,1582,1597,2168,1095,1073,903,466,437,1351,638,713,2689,1228,1461,1330,629,701,1465,711,754,1368,694,674,1798,911,887,276,147,129,430,208,222,660,283,377,367,200,167,655,324,331,257,129,128,2172,1092,1080,55771,29653,26118,1090,466,624
50-54岁,121164296,61105470,60058826,112216639,56597223,55619416,477538,232157,245381,817841,406388,411453,425332,210886,214446,639244,312742,326502,766701,385435,381266,636281,315336,320945,1469375,760831,708544,244387,122215,122172,155585,77940,77645,883161,446202,436959,275923,141320,134603,221100,114521,106579,164983,83823,81160,792516,408127,384389,122318,61099,61219,98313,47565,50748,107507,52211,55296,109023,55676,53347,51795,25608,26187,31320,15383,15937,56953,31480,25473,250,137,113,37847,18701,19146,31034,15781,15253,43025,21056,21969,28388,14233,14155,10017,4396,5621,11229,5467,5762,22272,11172,11100,9908,4635,5273,19012,9809,9203,26000,13052,12948,8103,4153,3950,8387,4220,4167,9347,5050,4297,46032,24229,21803,14990,7731,7259,2591,1277,1314,3013,1475,1538,2478,1226,1252,2081,1036,1045,738,411,327,1243,600,643,2478,1131,1347,1394,655,739,1479,771,708,1488,754,734,1814,837,977,238,124,114,393,185,208,553,225,328,354,161,193,545,274,271,188,85,103,2121,1013,1108,48451,24823,23628,980,417,563
55-59岁,101400786,50816026,50584760,94327524,47285667,47041857,405405,194201,211204,667626,331898,335728,318008,156612,161396,441826,217950,223876,545288,273070,272218,468653,228476,240177,1175987,596488,579499,168993,83776,85217,174290,85020,89270,829339,415861,413478,216056,109879,106177,174786,88027,86759,130580,65317,65263,604958,309836,295122,93670,46052,47618,72394,35156,37238,93649,45172,48477,86092,43292,42800,39426,19159,20267,23690,11560,12130,45678,25135,20543,260,125,135,29010,14072,14938,22538,11294,11244,30331,15582,14749,23213,11487,11726,7306,3193,4113,7884,3844,4040,16300,8095,8205,8864,4036,4828,15008,7597,7411,17816,9130,8686,6596,3343,3253,5719,2915,2804,7117,3754,3363,32005,16731,15274,13419,6764,6655,2062,981,1081,2281,1126,1155,1895,924,971,1578,762,816,645,351,294,1201,543,658,1989,858,1131,1123,559,564,904,443,461,1057,511,546,1722,815,907,202,108,94,304,151,153,484,177,307,289,128,161,445,197,248,153,69,84,1479,720,759,32986,16757,16229,683,280,403
60-64岁,73382938,36871125,36511813,68595823,34502184,34093639,307957,146950,161007,455799,224568,231231,196431,94156,102275,338127,166006,172121,323509,160315,163194,278443,133849,144594,778982,383082,395900,118831,56809,62022,157369,74496,82873,681957,352459,329498,124025,63594,60431,118781,59017,59764,79218,39017,40201,331893,171947,159946,62726,30184,32542,50282,23675,26607,64212,30749,33463,52843,25408,27435,26272,12503,13769,17254,8082,9172,34015,19084,14931,183,94,89,20623,9912,10711,13201,6458,6743,15263,7592,7671,12913,6359,6554,5933,2520,3413,5320,2557,2763,8934,4444,4490,6998,3078,3920,9004,4633,4371,11839,5985,5854,4569,2200,2369,3657,1801,1856,4310,2215,2095,17218,9183,8035,10923,5591,5332,1684,771,913,1204,590,614,1606,805,801,1194,583,611,489,253,236,1015,450,565,1423,597,826,889,413,476,615,316,299,535,276,259,1001,471,530,172,90,82,215,87,128,310,131,179,231,111,120,341,157,184,88,43,45,1101,513,588,22699,11510,11189,489,202,287
65-69岁,74005560,36337923,37667637,69520879,34147939,35372940,227471,106757,120714,455801,222244,233557,179334,84123,95211,258595,127397,131198,365022,178511,186511,273695,128540,145155,745548,355750,389798,117225,53756,63469,126170,57692,68478,563682,295911,267771,132827,67159,65668,107094,52135,54959,85583,41422,44161,433402,219563,213839,49755,23409,26346,34765,15785,18980,42048,19621,22427,41004,19192,21812,22727,10460,12267,11532,5323,6209,32048,17465,14583,97,59,38,13200,6249,6951,13746,6713,7033,14903,7237,7666,13793,6460,7333,3530,1487,2043,4693,2303,2390,8720,4246,4474,5059,2144,2915,9420,4621,4799,13760,6721,7039,3362,1592,1770,3482,1790,1692,4234,2115,2119,22797,11975,10822,9283,4910,4373,1040,494,546,1166,526,640,1120,580,540,846,409,437,384,197,187,672,310,362,800,331,469,515,223,292,542,258,284,595,286,309,975,484,491,127,64,63,152,74,78,197,89,108,188,95,93,207,94,113,67,30,37,706,345,361,24573,12071,12502,402,187,215
70-74岁,49590036,24162733,25427303,46493905,22687559,23806346,123845,56633,67212,313788,151563,162225,138620,61776,76844,206785,102821,103964,268835,129433,139402,193811,88479,105332,535236,242520,292716,87071,38079,48992,80152,34756,45396,308456,159943,148513,100215,50111,50104,72035,34078,37957,55321,26449,28872,319887,161685,158202,38019,17098,20921,21411,9705,11706,29135,12986,16149,28999,12663,16336,15705,7149,8556,9509,4253,5256,19972,10989,8983,55,32,23,10739,4687,6052,10239,4837,5402,13933,6704,7229,10109,4643,5466,2825,1105,1720,3477,1762,1715,5480,2610,2870,2430,1039,1391,6035,2868,3167,9342,4647,4695,2389,1113,1276,2901,1418,1483,3119,1442,1677,17187,8938,8249,5198,2860,2338,701,302,399,873,365,508,922,475,447,719,339,380,259,127,132,419,179,240,406,137,269,381,165,216,456,227,229,355,178,177,662,287,375,76,39,37,118,53,65,107,40,67,83,38,45,145,61,84,50,19,31,666,332,334,16187,7806,8381,281,131,150
75-79岁,31238849,14752433,16486416,29217625,13835106,15382519,67776,29615,38161,204824,96660,108164,95854,39959,55895,111273,56165,55108,177744,82530,95214,136071,58562,77509,389865,163207,226658,64483,26257,38226,47993,18809,29184,173710,87761,85949,65224,31204,34020,49316,21563,27753,38597,17689,20908,209125,102803,106322,24758,10314,14444,13014,5710,7304,17902,7518,10384,18935,7570,11365,9869,4266,5603,5580,2374,3206,12341,6687,5654,39,24,15,6188,2560,3628,7133,3144,3989,10489,5202,5287,7624,3383,4241,1634,568,1066,2208,1132,1076,3302,1520,1782,1194,468,726,4250,1846,2404,7195,3353,3842,1316,577,739,1892,915,977,2360,984,1376,11579,5863,5716,2925,1540,1385,503,199,304,656,266,390,605,292,313,436,192,244,175,95,80,306,120,186,177,56,121,197,73,124,350,151,199,245,107,138,477,202,275,68,24,44,75,27,48,58,24,34,25,12,13,112,52,60,35,14,21,319,148,171,10703,4918,5785,120,53,67
80-84岁,20382878,9157003,11225875,19149035,8623369,10525666,44225,18725,25500,122076,56275,65801,52334,19570,32764,53019,27709,25310,112126,49216,62910,76665,30953,45712,250318,98931,151387,37813,13944,23869,34050,12005,22045,104426,51929,52497,44971,20585,24386,32698,13483,19215,24369,10530,13839,126826,60067,66759,15840,5917,9923,6569,2870,3699,11276,4372,6904,14282,5240,9042,5575,2282,3293,3177,1326,1851,8934,4590,4344,26,12,14,3470,1354,2116,4809,1913,2896,6227,3087,3140,5409,2272,3137,931,315,616,1089,577,512,1630,696,934,880,346,534,2849,1165,1684,3764,1688,2076,790,346,444,1052,500,552,1377,547,830,6199,3028,3171,1732,915,817,245,97,148,413,156,257,293,139,154,280,128,152,96,46,50,205,57,148,147,43,104,151,58,93,172,76,96,117,54,63,341,151,190,29,13,16,64,25,39,27,12,15,25,7,18,51,25,26,22,10,12,221,102,119,7073,3129,3944,68,26,42
85-89岁,10826530,4426091,6400439,10260023,4200928,6059095,17621,7220,10401,56305,24304,32001,21514,7200,14314,18928,9866,9062,50549,20678,29871,31490,11516,19974,130344,45213,85131,16047,5451,10596,14757,4514,10243,50195,23558,26637,20376,8678,11698,16534,6121,10413,12066,4811,7255,58334,25903,32431,6478,2121,4357,2354,970,1384,5392,1932,3460,7341,2531,4810,2572,982,1590,1275,499,776,4756,2121,2635,9,3,6,1400,526,874,2177,818,1359,2452,1209,1243,2171,811,1360,348,119,229,478,237,241,625,264,361,313,135,178,1541,563,978,1014,458,556,387,142,245,429,203,226,672,244,428,2334,1115,1219,754,407,347,130,37,93,190,60,130,126,61,65,131,58,73,16,7,9,92,30,62,67,22,45,53,17,36,65,36,29,44,13,31,203,91,112,10,8,2,29,18,11,4,0,4,11,5,6,21,5,16,5,0,5,130,64,66,2791,1167,1624,57,21,36
90-94岁,3652749,1367594,2285155,3471547,1301849,2169698,5090,2242,2848,18099,7300,10799,6745,1985,4760,6871,3526,3345,14951,5483,9468,8432,2706,5726,45333,13830,31503,4810,1328,3482,4409,1093,3316,18076,8184,9892,5395,2031,3364,5532,1823,3709,3440,1291,2149,17369,6944,10425,2182,615,1567,628,271,357,1664,558,1106,2816,885,1931,774,295,479,389,129,260,1692,680,1012,16,9,7,481,166,315,554,179,375,730,337,393,642,212,430,115,38,77,152,92,60,143,65,78,78,32,46,505,166,339,459,180,279,134,39,95,148,67,81,203,86,117,530,245,285,246,135,111,29,10,19,54,10,44,48,28,20,54,25,29,10,6,4,25,7,18,5,2,3,19,8,11,17,12,5,9,4,5,86,29,57,2,1,1,8,2,6,4,3,1,2,0,2,2,0,2,3,1,2,55,22,33,918,324,594,19,4,15
95-99岁,819812,271455,548357,779801,258522,521279,930,391,539,4049,1432,2617,1767,494,1273,1848,957,891,2986,951,2035,1483,445,1038,11099,2842,8257,922,213,709,1174,275,899,3936,1699,2237,931,338,593,1380,360,1020,533,197,336,3191,1153,2038,467,106,361,142,56,86,334,90,244,781,222,559,180,61,119,98,29,69,336,128,208,2,1,1,134,38,96,99,35,64,184,81,103,96,22,74,45,8,37,40,18,22,27,14,13,23,7,16,106,21,85,93,37,56,37,8,29,38,12,26,49,13,36,60,29,31,56,32,24,2,2,0,3,0,3,13,8,5,19,7,12,2,2,0,9,1,8,1,0,1,7,3,4,3,1,2,1,1,0,24,3,21,1,0,1,4,0,4,0,0,0,0,0,0,3,0,3,1,0,1,10,4,6,245,84,161,7,2,5
100岁及以上,118866,35129,83737,111261,32946,78315,161,67,94,752,240,512,312,79,233,773,339,434,543,166,377,196,48,148,2337,439,1898,180,49,131,168,46,122,537,264,273,137,44,93,258,56,202,44,12,32,422,127,295,85,18,67,19,3,16,82,19,63,159,30,129,50,13,37,27,7,20,41,16,25,0,0,0,31,6,25,22,5,17,53,16,37,9,3,6,12,4,8,9,2,7,3,1,2,5,1,4,16,4,12,6,3,3,6,1,5,2,0,2,10,3,7,16,6,10,3,1,2,0,0,0,1,0,1,4,2,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,4,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,92,33,59,6,3,3
