2-3全国各民族分性别、主要生活来源的15岁及以上人口
,单位：人
民族,15岁及以上人口,,,劳动收入,,,离退休金/养老金,,,最低生活保障金,,,失业保险金,,,财产性收入,,,家庭其他成员供养,,,其他
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
鄂温克族,2584,1211,1373,1399,760,639,222,74,148,101,46,55,2,1,1,107,65,42,556,177,379,197,88,109
德昂族,1549,763,786,1098,606,492,23,10,13,15,3,12,0,0,0,12,6,6,313,100,213,88,38,50
保安族,1476,727,749,584,394,190,67,28,39,33,11,22,0,0,0,12,5,7,517,173,344,263,116,147
裕固族,1167,583,584,699,402,297,67,29,38,21,11,10,0,0,0,40,18,22,235,80,155,105,43,62
京族,2322,1196,1126,1270,750,520,166,59,107,38,19,19,0,0,0,18,10,8,590,242,348,240,116,124
塔塔尔族,281,144,137,155,92,63,48,22,26,4,3,1,0,0,0,3,3,0,53,17,36,18,7,11
独龙族,526,256,270,307,167,140,15,3,12,6,2,4,0,0,0,4,3,1,86,30,56,108,51,57
鄂伦春族,684,328,356,358,201,157,75,33,42,51,29,22,0,0,0,19,7,12,151,43,108,30,15,15
赫哲族,418,180,238,237,121,116,67,23,44,0,0,0,1,0,1,6,1,5,96,33,63,11,2,9
门巴族,784,381,403,430,239,191,19,8,11,5,2,3,0,0,0,8,5,3,227,93,134,95,34,61
珞巴族,294,132,162,138,69,69,8,3,5,11,6,5,0,0,0,2,1,1,70,20,50,65,33,32
基诺族,2000,998,1002,1469,769,700,81,35,46,23,15,8,1,0,1,5,3,2,359,149,210,62,27,35
未定族称人口,50803,26356,24447,28101,16895,11206,807,475,332,1939,1011,928,8,4,4,268,163,105,15856,5850,10006,3824,1958,1866
入籍,1194,429,765,669,324,345,17,6,11,9,4,5,0,0,0,6,2,4,401,75,326,92,18,74
