8-4分国别(地区)对外承包工程合同金额
ContractsSignedforForeignEngineeringProjectsbyCountryorRegion
阿塞拜疆,Azerbaijan,3885,119455,12372,3906
白俄罗斯,Byelorussia,24960,103827,66705,171264
摩尔多瓦,Moldavia,,10,13433,
俄罗斯,Russia,775229,306013,1691792,587047
乌克兰,Ukraine,112508,102953,257529,213592
斯洛文尼亚,Slovenia,78415,,,
克罗地亚,Croatia,138,52437,9944,19701
捷克,CzechRep.,8117,6941,5907,6725
斯洛伐克,Slovak,627,22,500,
马其顿,Macedonia,80,21817,22019,5156
波黑,BosniaandHercegovina,38223,76230,2654,
塞尔维亚,Serbia,58182,30029,121245,156717
黑山,Montenegro,15,14177,6058,7713
,,,,,
,,,,,
8-4续表3Continued3
国别(地区),Country/Region,2017,2018,2019,2020
拉丁美洲,LatinAmerica,1585882,1822734,1987218,1483811
安提瓜和巴布达,AntiguaBarbuda,9,860,10035,10050
阿鲁巴岛,Aruba,143278,321859,179789,83179
巴哈马,Bahamas,214,,3998,
巴哈马,Bahamas,3382,,,
巴巴多斯,Barbados,20021,1425,48,
伯利兹,Belize,,103,,
玻利维亚,Bolivia,165854,71748,87937,35444
巴西,Brazil,174270,258278,303418,325022
智利,Chile,12121,42900,23913,59035
哥伦比亚,Colombia,17075,37832,512286,281262
多米尼克,Dominica,9435,391,5616,9212
哥斯达黎加,CostaRica,4139,4677,972,1521
古巴,Cuba,66606,20715,27336,
库腊索岛,Curacao,663,,,
多米尼加共和国,DominicanRep.,3181,8142,14644,2056
厄瓜多尔,Ecuador,88757,192158,80612,81392
格林纳达,Grenada,6813,5054,177511,
危地马拉,Guatemala,5012,73,,
圭亚那,Guyana,12040,3135,2317,28496
洪都拉斯,Honduras,895,457,10100,
牙买加,Jamaica,15322,8952,5905,5847
墨西哥,Mexico,76790,127597,186559,253397
尼加拉瓜,Nicaragua,943,,369,
巴拿马,Panama,20720,267644,18223,18961
巴拉圭,Paraguay,423,92,1183,
秘鲁,Peru,110876,151619,166294,171488
萨尔瓦多,ElSalvador,228,,100,
苏里南,Suriname,22822,20,1650,9176
特立尼达和多巴哥,Trinidad&Tobago,23388,2498,26177,16687
乌拉圭,Uruguay,919,,94,
委内瑞拉,Venezuela,579687,294507,140131,53641
北美洲,NorthAmerica,361245,289786,276215,113322
加拿大,Canada,25423,4834,28773,21146
美国,UnitedStates,335797,284946,247441,92176
格陵兰,Greenland,25,6,,
大洋洲及太平洋岛屿,OceaniaandPacificIs.,841960,856752,824872,780285
澳大利亚,Australia,497393,727857,541512,
库克群岛,CookIslands,1760,579,,
斐济,Fiji,38728,16107,35754,18048
瑙鲁,Nauru,,4712,,
瓦努阿图,Vanuatu,15415,22010,10477,5070
新西兰,NewZealand,73746,11867,32834,9251
巴布亚新几内亚,PapuaNewGuinea,199090,69294,93680,69890
所罗门群岛,SolomonIs.,1589,582,82693,
汤加,Tonga,707,569,133,1106
萨摩亚,Samoa,10641,3164,2389,189
基里巴斯,Kiribati,866,,,
图瓦卢,Tuvalu,1072,,,
密克罗尼西亚联邦,MicronesiaCommonwealth,917,11,1081,
马绍尔群岛共和国,Marshall.Is.,,,448,
帕劳共和国,RepublicofPalau,35,,22691,
纽埃,Niue,,,1180,
其他,Others,,207,17,
