8-7分国别(地区)年末在境外从事劳务合作人员
PersonnelAbroadforLabourServicesClassified
byCountryorRegionattheYear-end
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
多米尼加共和国,DominicaRep.,50,14,13,1
厄瓜多尔,Ecuador,632,858,1106,2
法属圭亚那,FrenchGuyana,,,,
圭亚那,Guyana,37,26,54,54
洪都拉斯,Honduras,55,64,62,
牙买加,Jamaica,478,445,461,376
墨西哥,Mexico,31,25,91,18
尼加拉瓜,Nicaragua,6,6,,
巴拿马,Panama,28239,19916,14949,6997
秘鲁,Peru,410,410,331,119
圣文森特和格林纳丁斯,SaintVincent&Grenadines,733,557,494,
苏里南,Suriname,8,25,36,30
特立尼达和多巴哥,Trinidad&Tobago,46,94,97,97
委内瑞拉,Venezuela,125,136,58,9
英属维尔京群岛,VirginIs.(E),73,137,134,
圣其茨-尼维斯,St.Kitts-Nevis,7,1,,
北美洲,NorthAmerica,3494,3633,6020,392
加拿大,Canada,890,902,956,134
美国,UnitedStates,2582,2716,5056,253
百慕大群岛,Bermuda,22,15,8,
大洋洲及太平洋岛屿,OceaniaandPacificIs.,9898,9548,7565,4167
澳大利亚,Australia,1265,2644,1351,690
库克群岛,CookIs.,27,36,12,
斐济,Fiji,477,92,64,44
瑙鲁,Nauru,,,4,
瓦努阿图,Vanuatu,369,364,151,140
新西兰,NewZealand,188,716,987,738
巴布亚新几内亚,PapuaNewGuinea,503,971,971,488
汤加,Tonga,13,,,
萨摩亚,Samoa,1043,,,71
基里巴斯,Kiribati,796,617,452,
图瓦卢,Tuvalu,460,210,131,
密克罗尼西亚,Micronesia,235,202,191,
马绍尔群岛,MarshallIs.,4281,3592,3136,
帕劳共和国,RepublicofPalau,241,104,78,
纽埃,Niue,,,37,
其他,Others,,726,657,833
