6-27主要进口商品数量和金额
MajorImportCommoditiesinQuantityandValue
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
未锻轧铝及铝材,UnwroughtAluminumandAluminumProducts,吨,ton,645797,2705009,291034,629869
机电产品,MechanicalandElectricalProducts,,,,,90789549,94905298
机械基础件,MechanicalFoundationParts,,,,,,1117057
农业机械,AgriculturalMachinery,,,,,,82106
收获机械,HarvestingMachinery,台,set,,3016,,36244
拖拉机,Tractors,辆,unit,,558,,4833
食品加工机械,FoodProcessingMachinery,万台,10000sets,,11,,56127
包装机械,PackagingMachinery,台,set,,145807,,156861
印刷、装订机械及其零件,PrintingandBindingMachineryandItsParts,,,,,,651164
打印机、复印机及一体机,Printer,CopierandAll-in-oneMachine,台,set,,12794288,,258380
通用机械设备,GeneralMechanicalEquipment,,,,,,1942560
泵,Pump,万台,10000sets,,10680,,383536
压缩机,Compressor,万台,10000sets,,799,,166683
分离设备,SeparationEquipment,,,,,,345845
阀门及类似装置,ValvesandSimilarDevices,万套,10000units,,103124,,758941
机床,MachineTool,台,set,,108121,,659956
自动数据处理设备及其零部件,AutomaticDataProcessingEquipmentandIts,,,,,,5354551
自动数据处理设备,PartsAutomaticDataProcessingEquipment,万台,10000sets,,130,,87441
中央处理部件,CentralProcessingUnit,万台,10000sets,,888,,199952
存储部件,StorageUnit,万台,10000sets,35237,34308,2280592,2563607
自动数据处理设备的零件、
附件,PartsandAccessoriesofAutomaticData
ProcessingEquipment,吨,ton,,74254,,1951132
半导体制造设备,SemiconductorManufacturingEquipment,台,set,,58438,,2524357
制造单晶柱或晶圆用的机器
及装置,MachinesandDevicesforManufacturing
SingleCrystalColumnsorWafers,台,set,3211,2417,104184,85886
制造半导体器件或集成电路
用的机器及装置,MachinesandDevicesforManufacturing
SemiconductorDevicesorIntegratedCircuits,台,set,9967,11499,1041660,1356125
制造平板显示器用的机器
及装置,MachineandDeviceforManufacturingFlat
PanelDisplay,台,set,5903,6723,707295,707443
电工器材,ElectricalEquipment,,,,,,4282337
变压器,Transformer,万个,10000units,,131477,,75148
蓄电池,ElectricAccumulators,万个,10000units,153410,148956,415869,389438
锂离子蓄电池,Lithium-ionBattery,万个,10000units,,142182,,353650
,,,,,,,
,,,,,,,
6-27续表2Continued2
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
电气控制装置,ElectricalControlDevice,,,,,,2153347
电线及电缆,WiresandCables,万吨,10000sets,,21,,495605
音视频设备及其零件,AudioandVideoEquipmentandItsParts,,,,,,1725524
电视摄像机,数字照相机
及视频摄录一体机,TVCamera,DigitalCameraand
VideoRecorder,万台,10000units,12795,8445,337432,249197
音视频设备的零件,PartsofAudioandVideoEquipment,,,,,,1334786
有机发光二极管显示屏,OrganicLightEmittingDiodeDisplay,吨,ton,,12518,,82956
电子元件,ElectronicComponent,,,,,,40587990
#电容器,ElectricalCapacitors,万吨,10000sets,7,7,964838,1120247
印刷电路,PrintedCircuit,亿块,100millionunits,445,465,1125892,1087717
二极管及类似半导体器件,DiodeandSemiConductorst,亿个,100millionunits,4789,5433,1951522,2346122
集成电路,IntegratedCircuits,亿个,100millionunits,4451,5435,30553059,34996363
汽车包含底盘,Automobileincludingchassis,万辆,10000units,,93,,4670185
乘用车,PassengerCar,辆,unit,,912242,,4491740
商用车,CommercialVehicle,辆,unit,,20860,,178445
货车,Trucks,辆,unit,16136,14912,111656,120057
专用汽车,SpecialPurposeVehicle,辆,unit,519,257,19166,17209
汽车零配件,AutoParts,,,,,3063526,3248586
#车用发动机,VehicleEngine,万台,10000sets,,72,,177994
汽车轮胎,AutomobileTire,吨,ton,,106457,,62344
飞机及其他航空器,AircraftandOthers,架,unit,957,715,1603079,718252
空载重量超过2吨的飞机,AircraftwithanUnloadedWeightof
MoreThan2Tons,架,unit,240,153,1580254,701147
航空器零部件,AircraftParts,,,,,,794148
#涡轮喷气发动机,TurbojetEngine,台,set,875,701,363716,317305
涡轮螺桨发动机,TurbopropEngine,台,set,,36,,500
船舶,Shipping,艘,unit,2946,2177,95490,145621
液晶显示板,LiquidCrystalDisplayPanel,万个,10000units,193053,188330,2078854,1908917
计量检测分析自控仪器
及器具,AutomaticControlInstrumentsand
ApparatusforMeasurement,
DetectionandAnalysis,,,,,3737773,4042281
医疗仪器及器械,MedicalInstrumentsandAppliances,,,,,1246393,1267067
钟表及其零件,ClocksandWatchesandTheirParts,,,,,,446895
#手表,WristWatches,万只,10000units,3233,2455,305183,380745
电动手表,ElectricWatch,万只,10000units,2987,2206,115844,116157
机械手表,MechanicalWatch,万只,10000units,246,249,189339,264589
高新技术产品,NewandHigh-techProduct,,,,,63779146,68210083
生物技术,Biotechnology,,,,,300393,432668
生命科学技术,LifeScienceandTechnology,,,,,4275005,4246840
光电技术,PhotoelectricTechnology,,,,,3424148,3312032
计算机与通信技术,ComputerandCommunicationTechnology,,,,,11635440,12211876
电子技术,ElectronicTechnique,,,,,35239754,39789251
计算机集成制造技术,ComputerIntegratedManufacturing
Technology,,,,,5235205,5649406
材料技术,MaterialTechnology,吨,ton,37790,39152,499795,517739
航空航天技术,AviationandAerospaceTechnology,,,,,3074905,1958418
其他技术,OtherTechnologies,,,,,,91851
电动载人汽车,ElectricMannedVehicle,辆,unit,158563,130639,669321,607830
纯电动客车10座及以上,PureElectricBus10seatsandabove,辆,unit,1,1,,9
非插电式混合动力乘用车,NonPluginHybridPassengerVehicle,辆,unit,,107591,,416051
插电式混合动力乘用车,PluginHybridPassengerCar,辆,unit,,11475,,96809
纯电动乘用车,PureElectricPassengerCar,辆,unit,,11572,,94960
文化产品,CulturalProducts,,,,,1156865,1148841
