"6-10 我国同各国(地区)海关进出口总额
",,,,,
"China's Foreign Trade with Related Countries and Territories
",,,,,
"单位:万美元
",,,,,
"Unit:USD 10000
",,,,,
国别(地区),Country/Region,2019,,2020,
,,"出口总额
Exports","进口总额
Imports","出口总额
Exports","进口总额
Imports"
总 计,Total,249948209,207840898,258995161,206596155
  亚洲,  Asia,122067538,114658230,123074964,115700939
    阿富汗,    Afghanistan,59980,2928,50068,5451
    巴林,    Bahrain,148415,19533,112026,14631
    孟加拉国,    Bangladesh,1732329,103653,1507570,79975
    不丹,    Bhutan,1091,5,1356,3
    文莱,    Brunei,64987,45288,46622,147599
    缅甸,    Myanmar,1231099,638806,1254752,634680
    柬埔寨,    Cambodia,798153,144432,805449,149749
    塞浦路斯,    Cyprus,58081,5528,89311,2517
    朝鲜,    Korea DPR,257379,21524,49097,4795
    中国香港,"    Hong Kong,China",27915249,906716,27257541,698278
    印度,    India,7482530,1798588,6671971,2097731
    印度尼西亚,    Indonesia,4564874,3411387,4098123,3748185
    伊朗,    Iran,958999,1344563,849184,644156
    伊拉克,    Iraq,946132,2392734,1092298,1930376
    以色列,    Israel,961496,515419,1125361,628560
    日本,    Japan,14324452,17176870,14261864,17466136
    约旦,    Jordan,367792,43406,318151,42573
    科威特,    Kuwait,383632,1344747,354783,1073510
    老挝,    Laos,176245,215700,149128,208829
    黎巴嫩,    Lebanon,167960,2601,94562,3180
    中国澳门,"    Macao,China",304487,6708,222853,6314
    马来西亚,    Malaysia,5214178,7190998,5630131,7517442
    马尔代夫,    Maldives,34799,3372,27570,577
    蒙古,    Mongolia,182659,633436,161807,512456
    尼泊尔,    Nepal,148248,3354,116748,1626
    阿曼,    Oman,302094,1965016,307647,1565946
    巴基斯坦,    Pakistan,1616692,180613,1535767,212487
    巴勒斯坦,    Palestine,8214,14,10046,1
    菲律宾,    Philippines,4076385,2019939,4188171,1933547
    卡塔尔,    Qatar,240968,871311,263117,830510
    沙特阿拉伯,    Saudi Arabia,2387651,5419594,2809529,3906986
    新加坡,    Singapore,5479849,3523782,5762612,3161807
    韩国,    Korea Rep.,11097441,17355903,11247683,17310391
    斯里兰卡,    Sri Lanka,409061,39701,384273,31776
    叙利亚,    Syria,131381,141,83352,133
    泰国,    Thailand,4558484,4616165,5051424,4813974
    土耳其,    Turkey,1732370,349682,2034648,373141
    阿联酋,    United Arab Emirates,3341289,1533674,3231035,1705482
    也门共和国,    Republic of Yemen,281903,86663,288134,67402
    越南,    Vietnam,9786888,6411667,11381566,7847443
    中华人民共和国,    P.R.China,,12979220,,12526628
    中国台湾,"    Taiwan,China",5510931,17301276,6011743,20049793
    东帝汶,    Timor Leste,14295,2456,19128,121
    哈萨克斯坦,    Kazakhstan,1272910,927367,1170313,980510
    吉尔吉斯斯坦,    Kirghizia,628052,6604,286537,3480
,,,,,
,,,,,
"6-10 续表 1 Continued 1
",,,,,
"单位:万美元
",,,,,
"Unit:USD 10000
",,,,,
国别(地区),Country/Region,2019,,2020,
,,"出口总额
Exports","进口总额
Imports","出口总额
Exports","进口总额
Imports"
  塔吉克斯坦,  Tadzhikistan,159007,8462,101684,4529
  土库曼斯坦,  Turkmenistan,43085,868602,44349,607188
  乌兹别克斯坦,  Uzbekistan,503209,218078,513872,148331
"  亚洲其他国家
  (地区)","  Other Countries
  (Regions)in Asia",134,7,11,3
非洲,Africa,11321443,9580159,11422062,7372210
  阿尔及利亚,  Algeria,694178,114125,559637,99706
  安哥拉,  Angola,205573,2383740,174815,1475773
  贝宁,  Benin,215252,15436,98839,5825
  博茨瓦那,  Botswana,30146,1713,23544,8749
  布隆迪,  Burundi,6639,1295,7397,764
  喀麦隆,  Cameroon,167017,100968,202247,76133
