"9-6 各地区国际旅游收入
",,,,,
"International Tourism Receipts by Locality
",,,,,
"单位:亿美元
",,,,,
"Unit:USD 100 million
",,,,,
地 区,Region,2016,2017,2018,2019
北 京,Beijing,50.70,51.30,55.16,51.92
天 津,Tianjin,35.57,37.51,11.10,11.83
河 北,Hebei,5.52,5.79,6.47,7.40
山 西,Shanxi,3.17,3.50,3.78,4.10
内蒙古,Inner Mongolia,11.39,12.46,12.72,13.40
辽 宁,Liaoning,18.24,17.78,17.40,17.39
吉 林,Jilin,7.91,7.66,6.86,6.15
黑龙江,Heilongjiang,4.58,4.80,5.37,6.46
上 海,Shanghai,64.19,66.99,72.61,82.44
江 苏,Jiangsu,38.04,41.95,46.48,47.44
浙 江,Zhejiang,31.28,35.86,25.96,26.68
安 徽,Anhui,25.42,28.81,31.88,33.88
福 建,Fujian,66.26,75.88,28.28,33.98
江 西,Jiangxi,5.85,6.30,7.45,8.65
山 东,Shandong,30.63,31.74,32.93,34.13
河 南,Henan,6.47,6.62,7.23,9.47
湖 北,Hubei,18.72,21.05,23.80,26.54
湖 南,Hunan,10.05,12.95,15.20,22.51
广 东,Guangdong,185.77,199.60,205.12,205.21
广 西,Guangxi,21.64,23.96,27.78,35.11
海 南,Hainan,3.50,6.81,7.71,9.72
重 庆,Chongqing,16.87,19.48,21.90,25.25
四 川,Sichuan,15.82,14.47,15.12,20.24
贵 州,Guizhou,2.53,2.83,3.18,3.45
云 南,Yunnan,30.75,35.50,44.18,51.47
西 藏,Tibet,1.94,1.96,2.47,2.79
陕 西,Shaanxi,23.39,27.04,31.27,33.68
甘 肃,Gansu,0.19,0.21,0.28,0.59
青 海,Qinghai,0.44,0.38,0.36,0.33
宁 夏,Ningxia,0.41,0.38,0.56,0.69
新 疆,Xinjiang,5.19,8.11,9.46,4.54
"注:天津、黑龙江、安徽、广东、重庆、贵州、云南、陕西、新疆含少量一日游游客花费。
",,,,,
"Note:Data of 2018 of Tianjin,Heilongjiang,Anhui,Guangdong,Chongqing,Guizhou,Yunnan,Shaanxi,Xinjiang include a small amount of one-day.
",,,,,
