"3-1-5 各地区限额以上零售业企业基本情况
",,,,,
"Basic Conditions of Enterprises above Designated Size
of Retail Trade by Region
",,,,,
地 区,Region,"零售业
Retail Trade",,,
,,,,#国有控股 State-controlled Enterprises,
,,"法人单位数
(个)
Number of
Corporation
Enterprises
(unit)","年末从业人数
(人)
Engaged Persons
at the Year-end
(person)","法人单位数
(个)
Number of
Corporation
Enterprises
(unit)","年末从业人数
(人)
Engaged Persons
at the Year-end
(person)"
全 国,National Total,107761,6392395,5148,724042
北 京,Beijing,2569,247016,355,53707
天 津,Tianjin,1055,71528,149,14209
河 北,Hebei,2753,254528,127,34295
山 西,Shanxi,2440,134422,148,19533
内蒙古,Inner Mongolia,1042,71490,63,18002
辽 宁,Liaoning,2197,159796,125,28222
吉 林,Jilin,1162,78287,105,14352
黑龙江,Heilongjiang,1295,84999,106,10841
上 海,Shanghai,2828,375931,395,58990
江 苏,Jiangsu,9946,498272,291,33318
浙 江,Zhejiang,6106,350549,459,28270
安 徽,Anhui,5087,248711,132,23937
福 建,Fujian,7275,302786,207,26373
江 西,Jiangxi,3864,163093,88,13341
山 东,Shandong,5803,412063,226,35559
河 南,Henan,7047,369258,246,26326
湖 北,Hubei,5170,287598,163,42302
湖 南,Hunan,7217,305640,134,24195
广 东,Guangdong,8749,671809,440,76683
广 西,Guangxi,2697,134347,189,12933
海 南,Hainan,434,35208,28,9839
重 庆,Chongqing,3435,190411,113,22029
四 川,Sichuan,5038,317221,172,26232
贵 州,Guizhou,2365,104092,136,12664
云 南,Yunnan,2332,130287,114,14015
西 藏,Tibet,155,6663,25,2291
陕 西,Shaanxi,4687,214228,218,19490
甘 肃,Gansu,1066,65792,64,10810
青 海,Qinghai,258,15287,20,1219
宁 夏,Ningxia,292,21927,19,874
新 疆,Xinjiang,1397,69156,91,9191
