"8-5 分国别(地区)对外承包工程营业额
",,,,,
"Turnover of Foreign Engineering Projects by Country or Region
",,,,,
"单位:万美元
",,,,,
"Unit:USD 10 000
",,,,,
国别(地区),Country/Region,2017,2018,2019,2020
合 计,Total,16858661,16904403,17290137,15593516
亚洲,Asia,8828857,9069440,9814559,8913866
  阿富汗,  Afghanistan,5073,4764,9094,3425
  巴林,  Bahrain,2198,724,777,
  孟加拉国,  Bangladesh,314660,432206,530261,550183
  文莱,  Brunei,71016,137187,95842,10338
  缅甸,  Myanmar,161406,116942,186295,186185
  柬埔寨,  Cambodia,176373,180102,277501,348846
  塞浦路斯,  Cyprus,6,,9,
  朝鲜,  Korea DPR,2,,,
  中国香港,"  Hong Kong,China",554531,592760,636979,789962
  印度,  India,246496,231541,253864,180072
  印度尼西亚,  Indonesia,556185,609652,870537,712110
  伊朗,  Iran,205025,231551,104580,
  伊拉克,  Iraq,273809,255713,414119,328905
  以色列,  Israel,113073,110789,117498,148805
  日本,  Japan,32778,33305,36324,39536
  约旦,  Jordan,66940,65199,33464,12813
  科威特,  Kuwait,196352,273392,257476,202205
  老挝,  Laos,422894,526468,520725,382892
  黎巴嫩,  Lebanon,6371,79,177,
  中国澳门,"  Macao,China",278641,250919,132498,131782
  马来西亚,  Malaysia,814615,796480,730343,685330
  马尔代夫,  Maldives,41467,63923,109055,48094
  蒙古,  Mongolia,106814,75721,67100,62989
  尼泊尔,  Nepal,29860,45701,63821,39965
  阿曼,  Oman,82085,87897,69384,48919
  巴基斯坦,  Pakistan,1133799,1127117,967401,732401
  巴勒斯坦,  Palestine,542,318,2394,
  菲律宾,  Philippines,188546,197248,275952,282550
  卡塔尔,  Qatar,103368,72739,50686,42344
  沙特阿拉伯,  Saudi Arabia,634381,521763,620768,618904
  新加坡,  Singapore,343707,258199,354948,235736
  韩国,  Korea,36759,40707,133503,72691
  斯里兰卡,  Sri Lanka,225245,237954,222470,128719
  叙利亚,  Syria,62,766,,
  泰国,  Thailand,338380,335596,287001,263427
  土耳其,  Turkey,120443,66728,66849,92180
  阿联酋,  United Arab Emirates,249594,361485,512286,818541
  也门共和国,  Yemen Rep.,1457,1134,1043,
  越南,  Vietnam,287860,280167,394010,292980
  中国台湾,"  Taiwan,China",4061,2997,10322,
  东帝汶,  East Timor,35519,35290,25926,23359
  哈萨克斯坦,  Kazakhstan,223838,221357,198174,149105
  吉尔吉斯斯坦,  Kirghizia,47998,21049,26562,13765
  塔吉克斯坦,  Tadzhikistan,19042,30848,23957,36891
  土库曼斯坦,  Turkmenistan,25264,27398,33699,16522
  乌兹别克斯坦,  Uzbekistan,50320,105564,88881,95709
,,,,,
,,,,,
"8-5 续表 1 Continued 1
",,,,,
"单位:万美元
",,,,,
"Unit:USD 10 000
",,,,,
国别(地区),Country/Region,2017,2018,2019,2020
非洲,Africa,5118786,4883888,4601260,3833046
  阿尔及利亚,  Algeria,784898,752146,633548,468811
  安哥拉,  Angola,669326,454319,286588,151473
  贝宁,  Benin,8110,14370,24418,23431
  博茨瓦纳,  Botswana,25281,25956,16828,19391
  布隆迪,  Burundi,2704,4078,8619,5046
  喀麦隆,  Cameroon,189239,125210,139905,89251
  佛得角,  Cape Verde,1694,2744,6671,2600
  中非,  Central African,1981,2253,8743,4995
  乍得,  Chad,62785,49833,73283,53709
  科摩罗,  Comoros,1457,2924,3247,3859
  刚果(布),  Congo,74754,47705,36912,57338
  吉布提,  Djibouti,36605,30147,22901,12174
  埃及,  Egypt,154179,204560,318959,299339
  赤道几内亚,  Eq.Guinea,102500,54294,58197,34048
  埃塞俄比亚,  Ethiopia,552174,400179,249597,292473
  加蓬,  Gabon,47548,16104,27101,6831
