Area,AreaName,Population
Unit,,人
荆州市,Jingzhou,1073099
东台市,Dongtai,1072235
昆山市,Kunshan,1067149
儋州市,Danzhou,1065865
衡水市,Hengshui,1065341
常熟市,Changshu,1064081
资阳市,Ziyang,1062296
慈溪市,Fenghua,1061711
汉川市,Hanchuan,1057791
海城市,Haicheng,1056955
淮北市,Huaibei,1046352
醴陵市,Li ling,1040615
武威市,Wuwei,1037379
西宁市,Xining,1037138
钟祥市,Zhongxiang,1033779
九江市,Jiujiang,1031663
镇江市,Zhenjiang,1027205
安康市,Ankang,1022342
盘锦市,Panjin,1020659
河池市,Hechi,1019192
衡阳市,Hengyang,1018349
公主岭市,Gongzhuling,1013854
榆林市,Yulin,1000860
金华市,Jinhua,1000833
大冶市,Daye,998813
潜江市,Qianjiang,995943
海门市,Haimen,988700
焦作市,Jiaozuo,982140
安丘市,Anqiu,977178
梅州市,Meizhou,976946
肥城市,Feicheng,976840
岑溪市,Cenxi,973578
瓦房店市,Wafangdian,971944
昭通市,Zhaotong,968131
台山市,Taishan,965592
青州市,Qingzhou,960093
嘉兴市,Jiaxing,957170
葫芦岛市,Huludao,954825
常宁市,Changning,953621
孝感市,Xiaogan,949924
锦州市,Jinzhou,949756
乐平市,Leping,946621
保山市,Baoshan,946189
营口市,Yingkou,938740
晋中市,Jinzhong,937175
辉县市,Huixian,932803
张家港市,Zhangjiagang,930189
兴义市,Xingyi,929372
湘乡市,Xiangxiang,927180
广元市,Guangyuan,922391
利川市,Lichuan,919522
韶关市,Shaoguan,917704
海安市,Haian,914118
洪湖市,Honghu,909166
任丘市,Renqiu,908179
铜陵市,Tongling,907432
新余市,Xinyu,905214
龙海市,Longhai,904601
新密市,Xinmi,903957
河间市,Hejian,899489
广水市,Guangshui,896197
高密市,Gaomi,895972
五常市,Wuchang,889211
廊坊市,Langfang,883800
萍乡市,Pingxiang,877635
庄河市,Zhuanghe,872346
高安市,Gaoan,871991
胶州市,Jiaozhou,871194
新郑市,Xinzheng,866280
本溪市,Benxi,864468
驻马店市,Zhumadian,862139
宣城市,Xuancheng,859491
巢湖市,Chaohu,858664
湘潭市,Xiangtan,857055
南平市,Nanping,855186
牡丹江市,Mudanjiang,854104
江油市,Jiangyou,853999
衢州市,Quzhou,853387
义乌市,Yiwu,853378
东阳市,Dongyang,851512
巩义市,Gongyi,851230
肇东市,Zhaodong,848523
武安市,Wu'an,846935
莱阳市,Laiyang,844618
通辽市,Tongliao,842852
临清市,Linqing,840583
辽阳市,Liaoyang,837892
界首市,Jieshou,837414
莱州市,Laizhou,834763
余姚市,Cixi,834345
武冈市,Wugang,826910
阆中市,Langzhong,824946
马鞍山市,Maanshan,824441
临汾市,Linfen,819865
武穴市,Wuxue,819708
恩施市,Enshi,816759
松滋市,Songzi,815656
梧州市,Wuzhou,807725
郴州市,Chenzhou,804223
绥化市,Suihua,803775
丹阳市,Danyang,799031
高邮市,Gaoyou,796476
德惠市,Dehui,796309
彭州市,Pengzhou,795093
溧阳市,Liyang,788500
长葛市,Changge,782451
