序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
680,南昌师范学院,3.16 ,,江西省,江西省
681,咸阳师范学院,3.16 ,,陕西省,陕西省
682,白城师范学院,3.09 ,,吉林省,吉林省
683,甘肃政法大学,3.09 ,,甘肃省,甘肃省
684,吉林体育学院,3.08 ,,吉林省,吉林省
685,豫章师范学院,3.08 ,,江西省,江西省
686,延安大学,3.07 ,,陕西省,陕西省
687,齐齐哈尔医学院,3.02 ,,黑龙江省,黑龙江省
688,龙岩学院,3.01 ,,福建省,福建省
689,曲靖师范学院,3.00 ,,云南省,云南省
690,亳州学院,2.99 ,,安徽省,安徽省
691,广东警官学院,2.99 ,,广东省,广东省
692,黑龙江工程学院,2.98 ,,黑龙江省,黑龙江省
693,河北水利电力学院,2.95 ,,河北省,河北省
694,广西警察学院,2.95 ,,广西壮族自治区,广西壮族自治区
695,武汉音乐学院,2.93 ,,湖北省,湖北省
696,玉溪师范学院,2.93 ,,云南省,云南省
697,红河学院,2.91 ,,云南省,云南省
698,阿坝师范学院,2.91 ,,四川省,四川省
699,兰州石化职业技术大学,2.87 ,,甘肃省,甘肃省
700,云南警官学院,2.85 ,,云南省,云南省
701,长治医学院,2.82 ,,山西省,山西省
702,长治学院,2.82 ,,山西省,山西省
703,楚雄师范学院,2.81 ,,云南省,云南省
704,沈阳体育学院,2.79 ,,辽宁省,辽宁省
705,滇西应用技术大学,2.78 ,,云南省,云南省
706,山东农业工程学院,2.77 ,,山东省,山东省
707,西北政法大学,2.77 ,,陕西省,陕西省
708,福建商学院,2.77 ,,福建省,福建省
709,南京森林警察学院,2.75 ,,公安部,江苏省
710,兰州文理学院,2.75 ,,甘肃省,甘肃省
711,信阳农林学院,2.72 ,,河南省,河南省
712,新疆理工学院,2.71 ,,新疆维吾尔自治区,新疆维吾尔自治区
713,攀枝花学院,2.71 ,,四川省,四川省
714,北京警察学院,2.70 ,,北京市,北京市
715,湖北美术学院,2.70 ,,湖北省,湖北省
716,贵州商学院,2.69 ,,贵州省,贵州省
717,广西职业师范学院,2.69 ,,广西壮族自治区,广西壮族自治区
718,张家口学院,2.68 ,,河北省,河北省
719,西安医学院,2.65 ,,陕西省,陕西省
720,湖南医药学院,2.63 ,,湖南省,湖南省
721,汉江师范学院,2.58 ,,湖北省,湖北省
722,牡丹江医学院,2.58 ,,黑龙江省,黑龙江省
723,沈阳医学院,2.56 ,,辽宁省,辽宁省
724,三明学院,2.56 ,,福建省,福建省
725,天津美术学院,2.55 ,,天津市,天津市
726,河套学院,2.49 ,,内蒙古自治区,内蒙古自治区
727,保定学院,2.48 ,,河北省,河北省
728,内蒙古艺术学院,2.48 ,,内蒙古自治区,内蒙古自治区
729,辽宁警察学院,2.47 ,,辽宁省,辽宁省
730,呼和浩特民族学院,2.46 ,,内蒙古自治区,内蒙古自治区
731,西安美术学院,2.45 ,,陕西省,陕西省
732,六盘水师范学院,2.45 ,,贵州省,贵州省
733,泰州学院,2.43 ,,江苏省,江苏省
734,兴义民族师范学院,2.42 ,,贵州省,贵州省
735,甘肃民族师范学院,2.41 ,,甘肃省,甘肃省
736,保山学院,2.40 ,,云南省,云南省
737,渭南师范学院,2.39 ,,陕西省,陕西省
738,河北民族师范学院,2.38 ,,河北省,河北省
739,辽宁科技学院,2.38 ,,辽宁省,辽宁省
740,兰州工业学院,2.37 ,,甘肃省,甘肃省
741,福建技术师范学院,2.35 ,,福建省,福建省
742,黑河学院,2.34 ,,黑龙江省,黑龙江省
743,绥化学院,2.33 ,,黑龙江省,黑龙江省
744,新疆科技学院,2.32 ,,新疆维吾尔自治区,新疆维吾尔自治区
745,大庆师范学院,2.31 ,,黑龙江省,黑龙江省
746,集宁师范学院,2.30 ,,内蒙古自治区,内蒙古自治区
747,河北环境工程学院,2.29 ,,河北省,河北省
748,四川警察学院,2.26 ,,四川省,四川省
749,山西工程技术学院,2.25 ,,山西省,山西省
750,中国劳动关系学院,2.24 ,,中华全国总工会,北京市
751,昭通学院,2.22 ,,云南省,云南省
752,滇西科技师范学院,2.21 ,,云南省,云南省
753,福建警察学院,2.16 ,,福建省,福建省
754,普洱学院,2.14 ,,云南省,云南省
755,西安音乐学院,2.13 ,,陕西省,陕西省
756,鄂尔多斯应用技术学院,2.13 ,,内蒙古自治区,内蒙古自治区
757,黔南民族师范学院,2.11 ,,贵州省,贵州省
758,哈尔滨金融学院,2.10 ,,黑龙江省,黑龙江省
759,安顺学院,2.06 ,,贵州省,贵州省
760,湖南女子学院,2.06 ,,湖南省,湖南省
761,陕西中医药大学,1.98 ,,陕西省,陕西省
762,铜仁学院,1.90 ,,贵州省,贵州省
763,山西能源学院,1.89 ,,山西省,山西省
764,新余学院（本级）,1.88 ,,江西省,江西省
765,景德镇学院,1.85 ,,江西省,江西省
766,西安航空学院,1.83 ,,陕西省,陕西省
767,湖北警官学院,1.82 ,,湖北省,湖北省
768,天津音乐学院,1.78 ,,天津市,天津市
769,贵州工程应用技术学院,1.74 ,,贵州省,贵州省
770,萍乡学院,1.73 ,,江西省,江西省
771,西安体育学院（本级）,1.72 ,,陕西省,陕西省
772,新疆艺术学院,1.68 ,,新疆维吾尔自治区,新疆维吾尔自治区
773,营口理工学院,1.66 ,,辽宁省,辽宁省
774,甘肃医学院（校本级）,1.64 ,,甘肃省,甘肃省
775,黑龙江工业学院,1.59 ,,黑龙江省,黑龙江省
776,新疆警察学院,1.58 ,,新疆维吾尔自治区,新疆维吾尔自治区
777,西藏藏医药大学,1.58 ,,西藏自治区,西藏自治区
778,陕西学前师范学院,1.50 ,,陕西省,陕西省
779,哈尔滨体育学院,1.48 ,,黑龙江省,黑龙江省
780,宁夏医科大学,1.40 ,,宁夏回族自治区,宁夏回族自治区
781,安康学院,1.40 ,,陕西省,陕西省
782,重庆警察学院,1.34 ,,重庆市,重庆市
783,贵州警察学院,1.28 ,,贵州省,贵州省
784,商洛学院,1.17 ,,陕西省,陕西省
785,安徽艺术学院,1.16 ,,安徽省,安徽省
786,赣南科技学院,0.86 ,,江西省,江西省
787,山西工学院,0.84 ,,山西省,山西省
788,哈尔滨音乐学院,0.65 ,,黑龙江省,黑龙江省
789,南昌医学院,0.65 ,,江西省,江西省
790,赣东学院,0.50 ,,江西省,江西省
